Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.56.1-192.168.56.101-54037-21-6,192.168.56.1,54037,192.168.56.101,21,6,14/01/2014 07:37:59 PM,2512123,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,64.48728824185758,7.563323929600581,139562.38888888885,580066.7379212539,2463591.0,19.0,2511812.0,279090.22222222225,833359.4694525253,2501376.0,19.0,2512077.0,314009.62499999994,868654.7078730317,2463591.0,203.0,0,0,0,0,332,296,3.9806968050529377,3.5826271245476438,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,36798,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54038-21-6,192.168.56.1,54038,192.168.56.101,21,6,14/01/2014 07:38:02 PM,2259197,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,71.70689408670427,8.410067824983834,125510.94444444445,519992.4661701386,2208788.0,56.0,2258755.0,250972.77777777778,748594.1179928175,2247216.0,123.0,2259141.0,282392.625,778491.9336033037,2208788.0,222.0,0,0,0,0,332,296,4.426351486833596,3.983716338150237,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,31906,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54039-21-6,192.168.56.1,54039,192.168.56.101,21,6,14/01/2014 07:38:04 PM,2200727,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,73.61203820373903,8.633510653524949,122262.61111111111,506589.83373477607,2151820.0,9.0,2200226.0,244469.55555555556,729781.5976057685,2190547.0,19.0,2200670.0,275083.75,758431.734464471,2151820.0,119.0,0,0,0,0,332,296,4.5439529755394465,4.089557677985502,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,34712,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54040-21-6,192.168.56.1,54040,192.168.56.101,21,6,14/01/2014 07:38:06 PM,2139453,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,75.72028925150494,8.880774665299962,118858.5,492485.7491479263,2091912.0,0.0,2138890.0,237654.4444444445,709382.5293359203,2129334.0,1.0,2139402.0,267425.25,737312.5527603126,2091912.0,58.0,0,0,0,0,332,296,4.674091929105243,4.206682736194719,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,46189,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54041-21-6,192.168.56.1,54041,192.168.56.101,21,6,14/01/2014 07:38:08 PM,1755106,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,92.30211736499106,10.825556974906359,97505.8888888889,400104.7917495217,1700261.0,19.0,1754703.0,194967.0,579615.1458345011,1740583.0,19.0,1755063.0,219382.87500000003,598519.7859833487,1700261.0,209.0,0,0,0,0,332,296,5.697661565740189,5.12789540916617,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,26785,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54042-21-6,192.168.56.1,54042,192.168.56.101,21,6,14/01/2014 07:38:10 PM,1688764,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,95.9281462655528,11.250831969416685,93820.22222222223,386343.77723207575,1641485.0,11.0,1688007.0,187556.33333333334,559353.9412187958,1679160.0,11.0,1688712.0,211089.00000000003,578104.2383413961,1641485.0,315.0,0,0,0,0,332,296,5.921490510219309,5.329341459197377,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,44659,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54043-21-6,192.168.56.1,54043,192.168.56.101,21,6,14/01/2014 07:38:12 PM,2297448,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,70.51302140461938,8.270045720294865,127636.00000000001,529495.1424706369,2248994.0,12.0,2297179.0,255242.11111111112,762016.898842218,2287281.0,13.0,2297403.0,287175.375,792798.5975821777,2248994.0,179.0,0,0,0,0,332,296,4.352655642260456,3.91739007803441,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,37962,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54044-21-6,192.168.56.1,54044,192.168.56.101,21,6,14/01/2014 07:38:14 PM,1574605,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,102.88294524658565,12.06651826966128,87478.05555555553,359029.47061233455,1525636.0,16.0,1574332.0,174925.77777777775,521119.9332490021,1564571.0,16.0,1574550.0,196818.74999999997,537084.2842812742,1525636.0,182.0,0,0,0,0,332,296,6.3507990892954105,5.71571918036587,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,35221,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54045-21-6,192.168.56.1,54045,192.168.56.101,21,6,14/01/2014 07:38:16 PM,2180580,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,74.29216080125471,8.713278118665677,121143.33333333334,501937.926425991,2132062.0,18.0,2180187.0,242242.99999999994,723135.6144735232,2170598.0,18.0,2180532.0,272566.49999999994,751462.2269672451,2132062.0,208.0,0,0,0,0,332,296,4.585935851929303,4.127342266736373,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,44960,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54046-21-6,192.168.56.1,54046,192.168.56.101,21,6,14/01/2014 07:38:18 PM,2121941,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,76.34519527168757,8.954066112111505,117885.61111111111,487569.5202322903,2071192.0,0.0,2121086.0,235676.22222222222,703365.1289225209,2111309.0,0.0,2121889.0,265236.125,729839.6024829091,2071192.0,211.0,0,0,0,0,332,296,4.712666374795529,4.241399737315976,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,40540,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
